name	age	pop
Kostenki14	37470	EMH
GoyetQ116-1	34795	EMH
KremsWA3	30970	EMH
Vestonice16	30010	EMH
Ostuni1	27620	EMH
Malta1	24305	EMH
ElMiron	18720	EMH
AfontovaGora3	16710	EMH
Villabruna	13980	EMH
Bichon	13665	EMH
Satsurblia	13255	EMH
Rochedane	12960	EMH
Ranchot88	10085	EMH
Kotias	9720	EMH
Karelia	8375	EMH
LaBrana1	7815	EMH
Hungarian.KO1	7660	EMH
Motala12	7625	EMH
Stuttgart	7140	EMH
S_Dinka_1	0	Africa
S_Mbuti_1	0	Africa
S_Yoruba_1	0	Africa
S_Burmese_2	0	EastAsia
S_Dai_3	0	EastAsia
S_Han_1	0	EastAsia
S_Hezhen_2	0	EastAsia
S_Japanese_1	0	EastAsia
S_Korean_2	0	EastAsia
S_Tujia_1	0	EastAsia
S_Uygur_1	0	EastAsia
S_Papuan_1	0	Oceania
S_Adygei_1	0	WestEurasia
S_Czech_2	0	WestEurasia
S_Estonian_1	0	WestEurasia
S_French_1	0	WestEurasia
S_Greek_2	0	WestEurasia
S_Icelandic_2	0	WestEurasia
S_Orcadian_1	0	WestEurasia
S_Russian_1	0	WestEurasia
S_Spanish_1	0	WestEurasia
S_Tuscan_1	0	WestEurasia
